"METRIC","SC","AC_5","Pw","Pr","Pj","Sb","Sw","Bf","Ce","La","He","Po","Bw","Mh","OH"
"BA",3,145,35.60,41.10,19.90,34.70,35.70,34.70,22.60,22.60,29.60,25.00,18.20,29.60,29.60
"BA",3,150,35.70,41.20,19.50,34.50,35.50,34.50,21.80,21.80,29.90,24.50,18.00,29.90,29.90
"BA",3,155,35.70,41.20,19.10,34.30,35.30,34.30,20.90,20.90,30.10,24.00,17.80,30.10,30.10
"BA",3,160,35.70,41.20,18.70,34.10,35.10,34.10,20.10,20.10,30.30,23.50,17.60,30.30,30.30
"BA",3,165,35.70,41.20,18.30,33.90,34.90,33.90,19.20,19.20,30.50,23.00,17.40,30.50,30.50
"BA",3,170,35.70,41.20,17.90,33.70,34.70,33.70,18.30,18.30,30.70,22.50,17.20,30.70,30.70
"BA",3,175,35.80,41.20,17.50,33.50,34.50,33.50,17.50,17.50,30.80,22.00,17.00,30.80,30.80
"BA",3,180,35.80,41.20,17.10,33.30,34.30,33.30,16.60,16.60,31.00,21.50,16.80,31.00,31.00
"BA",3,185,35.80,41.20,16.70,33.10,34.10,33.10,15.80,15.80,31.10,21.00,16.60,31.10,31.10
"BA",3,190,35.80,41.20,16.30,32.90,33.90,32.90,14.90,14.90,31.10,20.50,16.40,31.10,31.10
"BA",3,195,35.80,41.20,15.90,32.70,33.70,32.70,14.00,14.00,31.10,20.00,16.20,31.10,31.10
"BA",3,200,35.80,41.20,15.50,32.50,33.50,32.50,13.20,13.20,31.10,19.50,16.00,31.10,31.10
"BA",3,205,35.80,41.20,15.10,32.30,33.30,32.30,12.30,12.30,31.10,19.00,15.80,31.10,31.10
"BA",3,210,35.80,41.20,14.70,32.10,33.10,32.10,11.50,11.50,31.10,18.50,15.60,31.10,31.10
"BA",3,215,35.80,41.20,14.30,31.90,32.90,31.90,10.60,10.60,31.10,18.00,15.40,31.10,31.10
"BA",3,220,35.80,41.20,13.90,31.70,32.70,31.70,9.70,9.70,31.10,17.50,15.20,31.10,31.10
"BA",3,225,35.80,41.20,13.50,31.50,32.40,31.50,8.90,8.90,31.10,17.00,15.00,31.10,31.10
"BA",3,230,35.80,41.20,13.10,31.30,32.20,31.30,8.00,8.00,31.10,16.50,14.80,31.10,31.10
"BA",3,235,35.80,41.20,12.70,31.10,32.00,31.10,7.20,7.20,31.10,16.00,14.60,31.10,31.10
"BA",3,240,35.80,41.20,12.30,30.90,31.80,30.90,6.30,6.30,31.10,15.50,14.40,31.10,31.10
"BA",3,245,35.80,41.20,12.30,30.90,31.80,30.90,6.30,6.30,31.10,15.50,14.40,31.10,31.10
"BA",3,250,35.80,41.20,12.30,30.90,31.80,30.90,6.30,6.30,31.10,15.50,14.40,31.10,31.10
"BA",4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",4,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",4,15,8.80,12.70,10.60,0.00,0.00,0.00,0.00,0.00,5.30,10.30,5.90,5.30,5.30
"BA",4,20,13.90,15.50,14.00,0.00,0.00,0.00,0.00,0.00,7.40,13.50,9.00,7.40,7.40
"BA",4,25,18.30,20.20,16.40,3.80,3.90,3.80,2.70,2.70,9.40,16.60,11.90,9.40,9.40
"BA",4,30,21.90,24.10,18.20,7.30,7.50,7.30,5.10,5.10,11.20,19.00,14.50,11.20,11.20
"BA",4,35,24.90,27.40,19.40,10.30,10.60,10.30,7.20,7.20,12.90,21.30,16.40,12.90,12.90
"BA",4,40,27.20,29.90,20.30,13.00,13.40,13.00,9.10,9.10,14.40,32.20,18.00,14.40,14.40
"BA",4,45,28.90,32.00,21.10,15.50,16.00,15.50,10.90,10.90,15.80,24.70,18.90,15.80,15.80
"BA",4,50,30.30,33.70,21.70,17.80,18.30,17.80,12.50,12.50,17.10,26.20,19.80,17.10,17.10
"BA",4,55,31.30,35.10,22.30,19.90,20.50,19.90,13.90,13.90,18.30,27.20,19.90,18.30,18.30
"BA",4,60,32.20,36.20,22.70,21.80,22.50,21.80,15.30,15.30,19.40,28.10,20.20,19.40,19.40
"BA",4,65,32.90,37.20,23.00,23.60,24.30,23.60,16.50,16.50,20.40,28.80,20.40,20.40,20.40
"BA",4,70,33.50,38.00,23.30,25.20,26.00,25.20,17.60,17.60,21.40,29.20,20.40,21.40,21.40
"BA",4,75,34.00,38.60,23.50,26.60,27.40,26.60,18.60,18.60,22.30,29.50,20.50,22.30,22.30
"BA",4,80,34.40,39.10,23.70,27.90,28.70,27.90,19.50,19.50,23.10,29.60,20.60,23.10,23.10
"BA",4,85,34.70,39.50,23.80,29.10,30.00,29.10,20.40,20.40,23.90,29.60,20.60,23.90,23.90
"BA",4,90,34.90,39.90,23.90,30.20,31.10,30.20,21.10,21.10,24.60,29.60,20.40,24.60,24.60
"BA",4,95,35.10,40.20,23.90,31.20,32.10,31.20,21.80,21.80,25.30,29.50,20.20,25.30,25.30
"BA",4,100,35.30,40.40,23.50,32.00,33.00,32.00,22.40,22.40,25.90,29.50,20.00,25.90,25.90
"BA",4,105,35.40,40.60,23.10,32.70,33.70,32.70,22.90,22.90,26.50,29.00,19.80,26.50,26.50
"BA",4,110,35.40,40.70,22.70,33.30,34.30,33.30,23.30,23.30,27.00,28.50,19.60,27.00,27.00
"BA",4,115,35.40,40.80,22.30,33.80,34.80,33.80,23.70,23.70,27.50,28.00,19.40,27.50,27.50
"BA",4,120,35.50,40.90,21.90,34.20,35.20,34.20,23.90,23.90,27.90,27.50,19.20,27.90,27.90
